Salariés,Zone,Secteur,Type Site,Domaines,Pack Hébergement,Nb Emails,CMS,SSL,CDN,Options,Durée (ans),Prix Domaines (€ HT),Prix Hébergement (€ HT),Prix SSL (€ HT),Prix CDN (€ HT),Prix Options (€ HT),TOTAL (€ HT),TOTAL (€ TTC),Prix/mois (€ TTC)
11-50,International,Services & Conseil,Vitrine,.com + .eu,Pro,100,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 10 comptes,2,22.08,158.16,0.00,66.96,477.60,724.80,869.76,36.24
11-50,International,Services & Conseil,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo EV,CDN Security,Email Pro: 10 comptes + Sauvegardes automatiques,2,22.08,158.16,248.58,158.16,525.60,1112.58,1335.10,55.63
11-50,International,Santé & Médical,Vitrine,.com + .eu,Pro,100,WordPress,Sectigo DV,CDN Security (RGPD),Email Pro: 10 comptes,2,22.08,158.16,123.18,158.16,477.60,939.18,1127.02,46.96
11-50,International,Santé & Médical,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo EV,CDN Security (RGPD),Email Pro: 10 comptes + Sauvegardes automatiques,2,22.08,158.16,248.58,158.16,525.60,1112.58,1335.10,55.63
11-50,International,Tech & Digital,Vitrine,.com + .io,Pro,100,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 10 comptes,2,73.28,158.16,0.00,66.96,477.60,776.00,931.20,38.80
11-50,International,Tech & Digital,Vente,.com + .io,Pro,100,PrestaShop,Sectigo EV,CDN Security,Email Pro: 10 comptes + Sauvegardes automatiques,2,73.28,158.16,248.58,158.16,525.60,1163.78,1396.54,58.19
11-50,International,Créatif & Arts,Vitrine,.com + .eu,Pro,100,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 10 comptes,2,22.08,158.16,0.00,66.96,477.60,724.80,869.76,36.24
11-50,International,Créatif & Arts,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo EV,CDN Security,Email Pro: 10 comptes + Sauvegardes automatiques,2,22.08,158.16,248.58,158.16,525.60,1112.58,1335.10,55.63
11-50,International,Industrie & BTP,Vitrine,.com + .eu,Pro,100,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 10 comptes,2,22.08,158.16,0.00,66.96,477.60,724.80,869.76,36.24
11-50,International,Industrie & BTP,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo EV,CDN Security,Email Pro: 10 comptes + Sauvegardes automatiques,2,22.08,158.16,248.58,158.16,525.60,1112.58,1335.10,55.63
11-50,International,Finance & Assurance,Vitrine,.com + .eu,Pro,100,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 10 comptes,2,22.08,158.16,0.00,66.96,477.60,724.80,869.76,36.24
11-50,International,Finance & Assurance,Vente,.com + .eu,Pro,100,PrestaShop,Sectigo EV,CDN Security,Email Pro: 10 comptes + Sauvegardes automatiques,2,22.08,158.16,248.58,158.16,525.60,1112.58,1335.10,55.63
+50,Local,Commerce & Retail,Vitrine,.fr,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,7.79,263.76,0.00,0.00,1099.20,1370.75,1644.90,68.54
+50,Local,Commerce & Retail,Vente,.fr,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,7.79,263.76,248.58,158.16,1147.20,1825.49,2190.59,91.27
+50,Local,Restauration & Hôtellerie,Vitrine,.fr,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential + Visibilité Pro (Google Maps),2,7.79,263.76,0.00,0.00,2275.20,2546.75,3056.10,127.34
+50,Local,Restauration & Hôtellerie,Vente,.fr,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,7.79,263.76,248.58,158.16,1147.20,1825.49,2190.59,91.27
+50,Local,Services & Conseil,Vitrine,.fr,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,7.79,263.76,0.00,0.00,1099.20,1370.75,1644.90,68.54
+50,Local,Services & Conseil,Vente,.fr,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,7.79,263.76,248.58,158.16,1147.20,1825.49,2190.59,91.27
+50,Local,Santé & Médical,Vitrine,.fr,Performance,1000,WordPress,Sectigo DV,CDN Security (RGPD),Email Pro: 20 comptes + Database Essential,2,7.79,263.76,123.18,158.16,1099.20,1652.09,1982.51,82.60
+50,Local,Santé & Médical,Vente,.fr,Performance,1000,PrestaShop,Sectigo EV,CDN Security (RGPD),Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,7.79,263.76,248.58,158.16,1147.20,1825.49,2190.59,91.27
+50,Local,Tech & Digital,Vitrine,.fr,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,7.79,263.76,0.00,0.00,1099.20,1370.75,1644.90,68.54
+50,Local,Tech & Digital,Vente,.fr,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,7.79,263.76,248.58,158.16,1147.20,1825.49,2190.59,91.27
+50,Local,Créatif & Arts,Vitrine,.fr,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,7.79,263.76,0.00,0.00,1099.20,1370.75,1644.90,68.54
+50,Local,Créatif & Arts,Vente,.fr,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,7.79,263.76,248.58,158.16,1147.20,1825.49,2190.59,91.27
+50,Local,Industrie & BTP,Vitrine,.fr,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,7.79,263.76,0.00,0.00,1099.20,1370.75,1644.90,68.54
+50,Local,Industrie & BTP,Vente,.fr,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,7.79,263.76,248.58,158.16,1147.20,1825.49,2190.59,91.27
+50,Local,Finance & Assurance,Vitrine,.fr,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,7.79,263.76,0.00,0.00,1099.20,1370.75,1644.90,68.54
+50,Local,Finance & Assurance,Vente,.fr,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,7.79,263.76,248.58,158.16,1147.20,1825.49,2190.59,91.27
+50,National,Commerce & Retail,Vitrine,.fr + .com,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,21.28,263.76,0.00,0.00,1099.20,1384.24,1661.09,69.21
+50,National,Commerce & Retail,Vente,.fr + .com,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,21.28,263.76,248.58,158.16,1147.20,1838.98,2206.78,91.95
+50,National,Restauration & Hôtellerie,Vitrine,.fr + .com,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,21.28,263.76,0.00,0.00,1099.20,1384.24,1661.09,69.21
+50,National,Restauration & Hôtellerie,Vente,.fr + .com,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,21.28,263.76,248.58,158.16,1147.20,1838.98,2206.78,91.95
+50,National,Services & Conseil,Vitrine,.fr + .com,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,21.28,263.76,0.00,0.00,1099.20,1384.24,1661.09,69.21
+50,National,Services & Conseil,Vente,.fr + .com,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,21.28,263.76,248.58,158.16,1147.20,1838.98,2206.78,91.95
+50,National,Santé & Médical,Vitrine,.fr + .com,Performance,1000,WordPress,Sectigo DV,CDN Security (RGPD),Email Pro: 20 comptes + Database Essential,2,21.28,263.76,123.18,158.16,1099.20,1665.58,1998.70,83.28
+50,National,Santé & Médical,Vente,.fr + .com,Performance,1000,PrestaShop,Sectigo EV,CDN Security (RGPD),Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,21.28,263.76,248.58,158.16,1147.20,1838.98,2206.78,91.95
+50,National,Tech & Digital,Vitrine,.fr + .com,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,21.28,263.76,0.00,0.00,1099.20,1384.24,1661.09,69.21
+50,National,Tech & Digital,Vente,.fr + .com,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,21.28,263.76,248.58,158.16,1147.20,1838.98,2206.78,91.95
+50,National,Créatif & Arts,Vitrine,.fr + .com,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,21.28,263.76,0.00,0.00,1099.20,1384.24,1661.09,69.21
+50,National,Créatif & Arts,Vente,.fr + .com,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,21.28,263.76,248.58,158.16,1147.20,1838.98,2206.78,91.95
+50,National,Industrie & BTP,Vitrine,.fr + .com,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,21.28,263.76,0.00,0.00,1099.20,1384.24,1661.09,69.21
+50,National,Industrie & BTP,Vente,.fr + .com,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,21.28,263.76,248.58,158.16,1147.20,1838.98,2206.78,91.95
+50,National,Finance & Assurance,Vitrine,.fr + .com,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Basic,Email Pro: 20 comptes + Database Essential,2,21.28,263.76,0.00,0.00,1099.20,1384.24,1661.09,69.21
+50,National,Finance & Assurance,Vente,.fr + .com,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,21.28,263.76,248.58,158.16,1147.20,1838.98,2206.78,91.95
+50,International,Commerce & Retail,Vitrine,.com + .eu,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Security,Email Pro: 20 comptes + Database Essential,2,22.08,263.76,0.00,158.16,1099.20,1543.20,1851.84,77.16
+50,International,Commerce & Retail,Vente,.com + .eu,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,22.08,263.76,248.58,158.16,1147.20,1839.78,2207.74,91.99
+50,International,Restauration & Hôtellerie,Vitrine,.com + .eu,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Security,Email Pro: 20 comptes + Database Essential,2,22.08,263.76,0.00,158.16,1099.20,1543.20,1851.84,77.16
+50,International,Restauration & Hôtellerie,Vente,.com + .eu,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,22.08,263.76,248.58,158.16,1147.20,1839.78,2207.74,91.99
+50,International,Services & Conseil,Vitrine,.com + .eu,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Security,Email Pro: 20 comptes + Database Essential,2,22.08,263.76,0.00,158.16,1099.20,1543.20,1851.84,77.16
+50,International,Services & Conseil,Vente,.com + .eu,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,22.08,263.76,248.58,158.16,1147.20,1839.78,2207.74,91.99
+50,International,Santé & Médical,Vitrine,.com + .eu,Performance,1000,WordPress,Sectigo DV,CDN Security (RGPD),Email Pro: 20 comptes + Database Essential,2,22.08,263.76,123.18,158.16,1099.20,1666.38,1999.66,83.32
+50,International,Santé & Médical,Vente,.com + .eu,Performance,1000,PrestaShop,Sectigo EV,CDN Security (RGPD),Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,22.08,263.76,248.58,158.16,1147.20,1839.78,2207.74,91.99
+50,International,Tech & Digital,Vitrine,.com + .io,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Security,Email Pro: 20 comptes + Database Essential,2,73.28,263.76,0.00,158.16,1099.20,1594.40,1913.28,79.72
+50,International,Tech & Digital,Vente,.com + .io,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,73.28,263.76,248.58,158.16,1147.20,1890.98,2269.18,94.55
+50,International,Créatif & Arts,Vitrine,.com + .eu,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Security,Email Pro: 20 comptes + Database Essential,2,22.08,263.76,0.00,158.16,1099.20,1543.20,1851.84,77.16
+50,International,Créatif & Arts,Vente,.com + .eu,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,22.08,263.76,248.58,158.16,1147.20,1839.78,2207.74,91.99
+50,International,Industrie & BTP,Vitrine,.com + .eu,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Security,Email Pro: 20 comptes + Database Essential,2,22.08,263.76,0.00,158.16,1099.20,1543.20,1851.84,77.16
+50,International,Industrie & BTP,Vente,.com + .eu,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,22.08,263.76,248.58,158.16,1147.20,1839.78,2207.74,91.99
+50,International,Finance & Assurance,Vitrine,.com + .eu,Performance,1000,WordPress,Let's Encrypt (Gratuit),CDN Security,Email Pro: 20 comptes + Database Essential,2,22.08,263.76,0.00,158.16,1099.20,1543.20,1851.84,77.16
+50,International,Finance & Assurance,Vente,.com + .eu,Performance,1000,PrestaShop,Sectigo EV,CDN Security,Email Pro: 20 comptes + Database Essential + Sauvegardes automatiques,2,22.08,263.76,248.58,158.16,1147.20,1839.78,2207.74,91.99
